09-11-2022 14:29:36 WARN  TestResultLoggerExtension:37 - Test Successful for test: [1] Main Testing Project
09-11-2022 14:29:45 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Main Testing Project due to cause: java.util.UnknownFormatConversionException
09-11-2022 14:29:54 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Main Testing Project, Story due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:30:21 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Check bug issue type for JETI, JETI, Bug due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:30:47 WARN  TestResultLoggerExtension:50 - Test Failed for test: [2] Check task issue type for JETI, JETI, Task due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:31:14 WARN  TestResultLoggerExtension:50 - Test Failed for test: [3] Check story issue type for JETI, JETI, Story due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:31:40 WARN  TestResultLoggerExtension:50 - Test Failed for test: [4] Check bug issue type for TOUCAN, TOUCAN, Bug due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:32:07 WARN  TestResultLoggerExtension:50 - Test Failed for test: [5] Check task issue type for TOUCAN, TOUCAN, Task due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:32:33 WARN  TestResultLoggerExtension:50 - Test Failed for test: [6] Check story issue type for TOUCAN, TOUCAN, Story due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:33:00 WARN  TestResultLoggerExtension:50 - Test Failed for test: [7] Check bug issue type for COALA, COALA, Bug due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:33:26 WARN  TestResultLoggerExtension:50 - Test Failed for test: [8] Check task issue type for COALA, COALA, Task due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:33:53 WARN  TestResultLoggerExtension:50 - Test Failed for test: [9] Check story issue type for COALA, COALA, Story due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:34:00 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Check bug issue type for JETI, JETI due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:34:08 WARN  TestResultLoggerExtension:50 - Test Failed for test: [2] Check task issue type for JETI, JETI due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:34:16 WARN  TestResultLoggerExtension:50 - Test Failed for test: [3] Check story issue type for JETI, JETI due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:34:23 WARN  TestResultLoggerExtension:50 - Test Failed for test: [4] Check bug issue type for TOUCAN, TOUCAN due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:34:31 WARN  TestResultLoggerExtension:50 - Test Failed for test: [5] Check task issue type for TOUCAN, TOUCAN due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:34:38 WARN  TestResultLoggerExtension:50 - Test Failed for test: [6] Check story issue type for TOUCAN, TOUCAN due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:35:02 WARN  TestResultLoggerExtension:50 - Test Failed for test: [7] Check bug issue type for COALA, COALA due to cause: org.openqa.selenium.TimeoutException
09-11-2022 14:35:10 WARN  TestResultLoggerExtension:50 - Test Failed for test: [8] Check task issue type for COALA, COALA due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:35:17 WARN  TestResultLoggerExtension:50 - Test Failed for test: [9] Check story issue type for COALA, COALA due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:35:24 WARN  TestResultLoggerExtension:24 - Test result summary for TestCreateIssue {FAILED=21, SUCCESSFUL=1}
09-11-2022 14:52:41 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Main Testing Project due to cause: java.util.UnknownFormatConversionException
09-11-2022 14:52:41 WARN  TestResultLoggerExtension:24 - Test result summary for TestCreateIssue {FAILED=1}
09-11-2022 14:56:43 WARN  TestResultLoggerExtension:37 - Test Successful for test: [1] Main Testing Project
09-11-2022 14:59:30 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Main Testing Project, Story due to cause: org.opentest4j.AssertionFailedError
09-11-2022 14:59:30 WARN  TestResultLoggerExtension:24 - Test result summary for TestCreateIssue {FAILED=1}
09-11-2022 15:01:28 WARN  TestResultLoggerExtension:37 - Test Successful for test: [1] Main Testing Project, Story
09-11-2022 15:19:06 WARN  TestResultLoggerExtension:50 - Test Failed for test: [1] Main Testing Project, Story due to cause: org.openqa.selenium.TimeoutException
09-11-2022 15:19:06 WARN  TestResultLoggerExtension:24 - Test result summary for TestCreateIssue {FAILED=1}
09-11-2022 15:21:17 WARN  TestResultLoggerExtension:37 - Test Successful for test: [1] Main Testing Project, Story
09-11-2022 15:37:49 WARN  TestResultLoggerExtension:50 - Test Failed for test: Create new issue with blank mandatory fields due to cause: org.opentest4j.AssertionFailedError
09-11-2022 15:37:49 WARN  TestResultLoggerExtension:24 - Test result summary for TestCreateIssue {FAILED=1}
09-11-2022 15:41:08 WARN  TestResultLoggerExtension:50 - Test Failed for test: Create new issue with blank mandatory fields due to cause: org.opentest4j.AssertionFailedError
09-11-2022 15:41:08 WARN  TestResultLoggerExtension:24 - Test result summary for TestCreateIssue {FAILED=1}
